stud_number;first_name;last_name;gender;email;stud_role;asso_name;asso_desc
9699114;Ludwig;JACQUET;M;ludwig.jacquet@centralesupelec.fr;president;Band'à Joe;la fanfare, où tout le monde débute un instrument et qui organise des voyages dans la France et l'Europe pour jouer de la musique
1978626;Rolande;ROUAULT;F;rolande.rouault@centralesupelec.fr;vice-president;Band'à Joe;la fanfare, où tout le monde débute un instrument et qui organise des voyages dans la France et l'Europe pour jouer de la musique
5421882;Pierre Louis;PRIEUR;H;pierre louis.prieur@centralesupelec.fr;secretary;Band'à Joe;la fanfare, où tout le monde débute un instrument et qui organise des voyages dans la France et l'Europe pour jouer de la musique
8737405;Jean-Brice;GENDREAU;garçon;jean-brice.gendreau@centralesupelec.fr;treasurer;Band'à Joe;la fanfare, où tout le monde débute un instrument et qui organise des voyages dans la France et l'Europe pour jouer de la musique
9662058;Philppe;VEGER;garçon;philppe.veger@centralesupelec.fr;president;Barco;installation et exploitation de materiel video
7680585;Jean-Pierre;MORISSET;garçon;jean-pierre.morisset@centralesupelec.fr;vice-president;Barco;installation et exploitation de materiel video
6223280;Martial;FRETTE;M;martial.frette@centralesupelec.fr;secretary;Barco;installation et exploitation de materiel video
2265713;Jean-Luc;GROSBOIS;M;jean-luc.grosbois@centralesupelec.fr;treasurer;Barco;installation et exploitation de materiel video
5148985;Jean-Fred;FRIBAULT;H;jean-fred.fribault@centralesupelec.fr;president;BDA;l’asso qui s’occupe de tout ce qui est artistique sur le campus. Ça passe par l’organisation d’évènements tout au long de l’année, la gestion de Clubs artistes dans de nombreux domaines différents et la mise en place d’une billetterie en ligne permettant d’avoir des tarifs préférentiels dans des salles de spectacle parisiennes.
4266865;Rachida;VERGNEAU;F;rachida.vergneau@centralesupelec.fr;vice-president;BDA;l’asso qui s’occupe de tout ce qui est artistique sur le campus. Ça passe par l’organisation d’évènements tout au long de l’année, la gestion de Clubs artistes dans de nombreux domaines différents et la mise en place d’une billetterie en ligne permettant d’avoir des tarifs préférentiels dans des salles de spectacle parisiennes.
3946299;Alberto;DEVEAU;M;alberto.deveau@centralesupelec.fr;secretary;BDA;l’asso qui s’occupe de tout ce qui est artistique sur le campus. Ça passe par l’organisation d’évènements tout au long de l’année, la gestion de Clubs artistes dans de nombreux domaines différents et la mise en place d’une billetterie en ligne permettant d’avoir des tarifs préférentiels dans des salles de spectacle parisiennes.
3654631;Noëlle;BLOT;M;noelle.blot@centralesupelec.fr;treasurer;BDA;l’asso qui s’occupe de tout ce qui est artistique sur le campus. Ça passe par l’organisation d’évènements tout au long de l’année, la gestion de Clubs artistes dans de nombreux domaines différents et la mise en place d’une billetterie en ligne permettant d’avoir des tarifs préférentiels dans des salles de spectacle parisiennes.
5500184;Christianne;BIOTTEAU;W;christianne.biotteau@centralesupelec.fr;president;BDE;représente les élèves de CentraleSupélec auprès de la direction et coordonne la vie associative sur le campus
9396096;Claude;MAROT;F;claude.marot@centralesupelec.fr;vice-president;BDE;représente les élèves de CentraleSupélec auprès de la direction et coordonne la vie associative sur le campus
5654485;Rachel;CLAUDE;M;rachel.claude@centralesupelec.fr;secretary;BDE;représente les élèves de CentraleSupélec auprès de la direction et coordonne la vie associative sur le campus
3434843;Laure;BOISSINOT;fille;laure.boissinot@centralesupelec.fr;treasurer;BDE;représente les élèves de CentraleSupélec auprès de la direction et coordonne la vie associative sur le campus
2960755;Helmut;CHALOPIN;M;helmut.chalopin@centralesupelec.fr;president;Cheer Up;une association qui accompagne des jeunes de 15 à 25 ans malades du cancer et les aide à réaliser leur projet
5928897;Assia;TELLIER;F;assia.tellier@centralesupelec.fr;vice-president;Cheer Up;une association qui accompagne des jeunes de 15 à 25 ans malades du cancer et les aide à réaliser leur projet
5679520;Ismaël;DIXNEUF;M;ismael.dixneuf@centralesupelec.fr;secretary;Cheer Up;une association qui accompagne des jeunes de 15 à 25 ans malades du cancer et les aide à réaliser leur projet
7848592;Jean-Max;RIOU;M;jean-max.riou@centralesupelec.fr;treasurer;Cheer Up;une association qui accompagne des jeunes de 15 à 25 ans malades du cancer et les aide à réaliser leur projet
5744405;Lisette;JOURDAIN;fille;lisette.jourdain@centralesupelec.fr;president;FACS;Fédération d'associations de CS, cadre légal et financier d'une partie de l'associatif de CentraleSupélec, distribue des subventions et organise la coopération entre les associations
8132386;Mounir;HERBERT;garçon;mounir.herbert@centralesupelec.fr;vice-president;FACS;Fédération d'associations de CS, cadre légal et financier d'une partie de l'associatif de CentraleSupélec, distribue des subventions et organise la coopération entre les associations
1125045;Chantale;ROGER;W;chantale.roger@centralesupelec.fr;secretary;FACS;Fédération d'associations de CS, cadre légal et financier d'une partie de l'associatif de CentraleSupélec, distribue des subventions et organise la coopération entre les associations
1865983;Jean-Léon;CHEREAU;H;jean-leon.chereau@centralesupelec.fr;treasurer;FACS;Fédération d'associations de CS, cadre légal et financier d'une partie de l'associatif de CentraleSupélec, distribue des subventions et organise la coopération entre les associations
8788150;Elizabeth;PERRAULT;F;elizabeth.perrault@centralesupelec.fr;president;Junior CentraleSupelec (JCS);Junior Entreprise de CS, cette association d'étudiants a vocation économique et pédagogique mais a but non lucratif permet aux eleves de monter en compétences en leur proposant de réaliser des missions pour des clients
8573060;Khadija;DOLLET;fille;khadija.dollet@centralesupelec.fr;vice-president;Junior CentraleSupelec (JCS);Junior Entreprise de CS, cette association d'étudiants a vocation économique et pédagogique mais a but non lucratif permet aux eleves de monter en compétences en leur proposant de réaliser des missions pour des clients
982945;Romaric;ESNARD;M;romaric.esnard@centralesupelec.fr;secretary;Junior CentraleSupelec (JCS);Junior Entreprise de CS, cette association d'étudiants a vocation économique et pédagogique mais a but non lucratif permet aux eleves de monter en compétences en leur proposant de réaliser des missions pour des clients
