stud_number;first_name;last_name;gender;email;registration_date;payment_date;registration_fee;year
7719175;Eliane;CHOISNE;M;eliane.choisne@centralesupelec.fr;2015-10-08;2015-11-07;20.5;2016
7208231;Florian;COEFFARD;M;florian.coeffard@centralesupelec.fr;2015-10-01;2015-10-01;20.5;2016
5876984;Jacob;ROUSSIERE;garçon;jacob.roussiere@centralesupelec.fr;2015-10-10;2015-11-09;20.5;2016
2486399;Hortense;GUEFFIER;W;hortense.gueffier@centralesupelec.fr;2015-10-10;2015-10-10;20.5;2016
7874799;Timothée;COUILLAUD;H;timothee.couillaud@centralesupelec.fr;2015-09-27;2015-10-27;20.5;2016
2321657;Léonie;RELION;F;leonie.relion@centralesupelec.fr;2015-10-09;2015-10-09;20.5;2016
1056327;Prosper;FERRON;H;prosper.ferron@centralesupelec.fr;2015-09-23;2015-09-23;20.5;2016
2357186;Marie-Helene;COUVREUR;W;marie-helene.couvreur@centralesupelec.fr;2015-09-25;2015-09-25;20.5;2016
8298259;Béatrix;CHOISNET;fille;beatrix.choisnet@centralesupelec.fr;2015-09-15;2015-09-15;20.5;2016
7085217;Geneviève;RAGUIN;W;genevieve.raguin@centralesupelec.fr;2015-10-17;2015-11-16;20.5;2016
2542500;Karl;ANIS;H;karl.anis@centralesupelec.fr;2015-10-15;2015-11-14;20.5;2016
9699114;Ludwig;JACQUET;M;ludwig.jacquet@centralesupelec.fr;2015-09-24;2015-10-24;20.5;2016
6060655;Gina;GUILLEMET;fille;gina.guillemet@centralesupelec.fr;2015-10-16;2015-10-16;20.5;2016
3656441;Camille;BOUET;garçon;camille.bouet@centralesupelec.fr;2015-10-09;2015-10-09;20.5;2016
5857152;Alphonse;GOIZET;M;alphonse.goizet@centralesupelec.fr;2015-10-16;2015-10-16;20.5;2016
8264456;Juliette;RENOUX;F;juliette.renoux@centralesupelec.fr;2015-10-21;2015-11-20;20.5;2016
2199095;Marie-Bernadette;PERRON;fille;marie-bernadette.perron@centralesupelec.fr;2015-10-10;2015-11-09;20.5;2016
3808222;Frantz;REVERDY;M;frantz.reverdy@centralesupelec.fr;2015-09-18;2015-10-18;20.5;2016
1443127;Marie-Céline;DENECHERE;fille;marie-celine.denechere@centralesupelec.fr;2015-10-02;;20.5;2016
8841242;Françoise;BOUDIER;M;francoise.boudier@centralesupelec.fr;2015-10-05;2015-10-05;20.5;2016
1548313;Claude;PAULEAU;F;claude.pauleau@centralesupelec.fr;2015-10-08;2015-10-08;20.5;2016
7812504;Steeve;LUCAS;H;steeve.lucas@centralesupelec.fr;2015-09-21;2015-09-21;20.5;2016
6826493;Dimitri;PERRAUD;garçon;dimitri.perraud@centralesupelec.fr;2015-10-08;2015-10-08;20.5;2016
6684033;Nicole;PREZELIN;M;nicole.prezelin@centralesupelec.fr;2015-10-25;2015-11-24;20.5;2016
6987488;Lise-Marie;BEAUMIER;W;lise-marie.beaumier@centralesupelec.fr;2015-09-12;2015-09-12;20.5;2016
1489259;Marie-Joelle;HAMON;fille;marie-joelle.hamon@centralesupelec.fr;2015-10-11;2015-11-10;20.5;2016
1816455;Guy;GEFFARD;M;guy.geffard@centralesupelec.fr;2015-10-27;2015-11-26;20.5;2016
8799340;Edouard;PANTAIS;H;edouard.pantais@centralesupelec.fr;2015-09-17;2015-09-17;20.5;2016
9419081;Arnauld;MESNARD;garçon;arnauld.mesnard@centralesupelec.fr;2015-09-28;2015-09-28;20.5;2016
1865983;Jean-Léon;CHEREAU;H;jean-leon.chereau@centralesupelec.fr;2015-10-21;2015-11-20;20.5;2016
4142842;Jean-José;BONNEAU;M;jean-jose.bonneau@centralesupelec.fr;2015-09-27;2015-09-27;20.5;2016
4720458;Godefroy;CHENE;garçon;godefroy.chene@centralesupelec.fr;2015-09-27;2015-09-27;20.5;2016
7680585;Jean-Pierre;MORISSET;garçon;jean-pierre.morisset@centralesupelec.fr;2015-09-21;2015-09-21;20.5;2016
2492393;Moussa;LEMOINE;H;moussa.lemoine@centralesupelec.fr;2015-09-25;2015-09-25;20.5;2016
